transaction_type,description,amount_field,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
SERVICE_FEE,INBOUND_DEFECT_FEE,fba_fees,txn_ref+INBOUND_DEFECT_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
SERVICE_FEE,INBOUND_DEFECT_FEE,total,txn_ref+INBOUND_DEFECT_FEE+settlement_id+date,,
SERVICE_FEE,COST_OF_ADVERTISING,other,SERVICE_FEE_COST_OF_ADVERTISING+settlement_id+date,,
SERVICE_FEE,COST_OF_ADVERTISING,other_transaction_fees,SERVICE_FEE_COST_OF_ADVERTISING+settlement_id+date,,
SERVICE_FEE,COST_OF_ADVERTISING,total,SERVICE_FEE_COST_OF_ADVERTISING+settlement_id+date,expenses_cost_of_advertising,expenses_cost_of_advertising
SERVICE_FEE,AWD_PROCESSING_FEES,total,txn_ref+SERVICE_FEE_AWD_PROCESSING_FEES+settlement_id+date,,
SERVICE_FEE,AWD_PROCESSING_FEES,fba_fees,txn_ref+SERVICE_FEE_AWD_PROCESSING_FEES+settlement_id+date,expenses_fba_fees,expenses_fba_fees
SERVICE_FEE,COUPON_REDEMPTION_FEE,total,txn_ref+SERVICE_FEE_COUPON_REDEMPTION_FEE+settlement_id+date,expenses_other,expenses_other
SERVICE_FEE,COUPON_REDEMPTION_FEE,other,txn_ref+SERVICE_FEE_COUPON_REDEMPTION_FEE+settlement_id+date,,
SERVICE_FEE,COUPON_REDEMPTION_FEE,other_transaction_fees,txn_ref+SERVICE_FEE_COUPON_REDEMPTION_FEE+settlement_id+date,,
SERVICE_FEE,AWD_STORAGE_FEES,fba_fees,txn_ref+AWD_STORAGE_FEES+settlement_id+date,expenses_fba_fees,expenses_fba_fees
SERVICE_FEE,AWD_TRANSPORTATION_FEES,fba_fees,txn_ref+SERVICE_FEE_AWD_TRANSPORTATION_FEES+settlement_id+date,expenses_fba_fees,expenses_fba_fees
SERVICE_FEE,AWD_TRANSPORTATION_FEES,total,txn_ref+SERVICE_FEE_AWD_TRANSPORTATION_FEES+settlement_id+date,,
SERVICE_FEE,FBA_INBOUND_PLACEMENT_SERVICE_FEE,other,txn_ref+SERVICE_FEE_FBA_INBOUND_PLACEMENT_SERVICE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
SERVICE_FEE,FBA_INBOUND_PLACEMENT_SERVICE_FEE,total,txn_ref+SERVICE_FEE_FBA_INBOUND_PLACEMENT_SERVICE_FEE+settlement_id+date,,
SERVICE_FEE,FBA_INTERNATIONAL_SHIPPING_CHARGE,other,txn_ref+FBA_INTERNATIONAL_SHIPPING_CHARGE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
SERVICE_FEE,FBA_INTERNATIONAL_SHIPPING_CHARGE,total,txn_ref+FBA_INTERNATIONAL_SHIPPING_CHARGE+settlement_id+date,,
SERVICE_FEE,SUBSCRIPTION,other,SERVICE_FEE_SUBSCRIPTION+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
SERVICE_FEE,SUBSCRIPTION,total,SERVICE_FEE_SUBSCRIPTION+settlement_id+date,,
SERVICE_FEE,VINE_ENROLLMENT_FEE,other,txn_ref+VINE_ENROLLMENT_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
SERVICE_FEE,VINE_ENROLLMENT_FEE,total,txn_ref+VINE_ENROLLMENT_FEE+settlement_id+date,,
SERVICE_FEE,PREMIUM_SERVICES_FEE,selling_fees,txn_ref+SERVICE_FEE_PREMIUM_SERVICES_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
SERVICE_FEE,PREMIUM_SERVICES_FEE,total,txn_ref+SERVICE_FEE_PREMIUM_SERVICES_FEE+settlement_id+date,,
SHIPPING_SERVICES,RETURNPOSTAGEBILLING,total,txn_ref+SHIPPING_RETURN_POSTAGE+settlement_id+date,,
SHIPPING_SERVICES,RETURNPOSTAGEBILLING,other,txn_ref+SHIPPING_RETURN_POSTAGE+settlement_id+date,expenses_other,expenses_other
SHIPPING_SERVICES,ADJUSTMENT,other,txn_ref+SHIPPING_ADJUSTMENT+settlement_id+date,sales_other,expenses_other
SHIPPING_SERVICES,ADJUSTMENT,total,txn_ref+SHIPPING_ADJUSTMENT+settlement_id+date,,
,any,total,txn_ref+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
,any,other,txn_ref+settlement_id+date,,
,any,other_transaction_fees,txn_ref+settlement_id+date,,
CHARGEBACK_REFUND,any,fba_fees,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
CHARGEBACK_REFUND,any,total,txn_ref+sku+date,,
CHARGEBACK_REFUND,any,selling_fees,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
CHARGEBACK_REFUND,any,product_sales,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,any,shipping_credits,txn_ref+sku+date,expenses_other,expenses_other
DEBT,any,other,OTHER_DEBT+settlement_id+date,paid_to_amazon,paid_to_amazon
DEBT,any,total,OTHER_DEBT+settlement_id+date,,
FBA_TRANSACTION_FEES,AWD_STORAGE_FEE,fba_fees,txn_ref+FBA_TRANSACTION_FEES_AWD_STORAGE_FEE+settlement_id+date,expenses_fba_fees,expenses_fba_fees
