transaction_type,amount_type,amount_description,record_ref,to_summary_field_when_positive_amount,to_summary_field_when_negative_amount
ORDER_RETROCHARGE,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-PRINCIPAL,txn_ref+ORDER_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
ORDER_RETROCHARGE,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-SHIPPING,txn_ref+ORDER_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
ORDER_RETROCHARGE,ITEMWITHHELDTAX,MARKETPLACEFACILITATORVAT-PRINCIPAL,txn_ref+ORDER_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
ORDER_RETROCHARGE,ITEMWITHHELDTAX,MARKETPLACEFACILITATORVAT-SHIPPING,txn_ref+ORDER_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
PROMOTION_FEE,PROMOTIONFEE,PROMOTION_FEE,merchant_order_id+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
PROMOTION_FEE,PROMOTIONFEE,PROMOTION_FEE_SPECIAL,merchant_order_id+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
PROMOTION_FEE,DEALS,PROMOTION_FEE,DEALS_PROMOTION_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
PROMOTION_FEE,DEALS,PROMOTION_FEE_SPECIAL,DEALS_PROMOTION_FEE_SPECIAL+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
REFUND_RETROCHARGE,ITEMPRICE,TAX,txn_ref+REFUND_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
ORDER,PROMOTION,TAXDISCOUNT,txn_ref+sku+date,sales_shipping,sales_shipping
REFUND_RETROCHARGE,ITEMPRICE,SHIPPINGTAX,txn_ref+REFUND_RETROCHARGE+settlement_id+date,expenses_other,expenses_other
REFUND_RETROCHARGE,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-SHIPPING,txn_ref+REFUND_RETROCHARGE+settlement_id+date,sales_other,sales_other
REFUND_RETROCHARGE,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-PRINCIPAL,txn_ref+REFUND_RETROCHARGE+settlement_id+date,sales_other,sales_other
VINE_ENROLLMENT_FEE,VINE_ENROLLMENT_FEE,VINE_ENROLLMENT_FEE,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
AMAZONFEES,VINE_ENROLLMENT_FEE,TAX_ON_FEE,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
AMAZONFEES,VINE_ENROLLMENT_FEE,BASE_FEE,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
AMAZONFEES,VINE_ENROLLMENT_FEE,DISCOUNT_ON_FEE,AMAZON_FEES_VINE_ENROLLMENT_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
CHARGEBACK_REFUND,ITEMWITHHELDTAX,MARKETPLACEFACILITATORTAX-PRINCIPAL,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMWITHHELDTAX,MARKETPLACEFACILITATORVAT-PRINCIPAL,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMWITHHELDTAX,MARKETPLACEFACILITATORVAT-SHIPPING,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMPRICE,PRINCIPAL,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMPRICE,TAX,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMPRICE,SHIPPING,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMPRICE,SHIPPINGTAX,txn_ref+sku+date,expenses_other,expenses_other
CHARGEBACK_REFUND,ITEMFEES,SHIPPINGCHARGEBACK,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
CHARGEBACK_REFUND,ITEMFEES,COMMISSION,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
CHARGEBACK_REFUND,ITEMFEES,REFUNDCOMMISSION,txn_ref+sku+date,sales_amazon_fees,sales_amazon_fees
COUPONREDEMPTIONFEE,COUPONREDEMPTIONFEE,any,txn_ref+SERVICE_FEE_COUPON_REDEMPTION_FEE+settlement_id+date,expenses_other,expenses_other
SERVICEFEE,COST_OF_ADVERTISING,TRANSACTIONTOTALAMOUNT,SERVICE_FEE_COST_OF_ADVERTISING+settlement_id+date,expenses_cost_of_advertising,expenses_cost_of_advertising
SERVICEFEE,DEALS,PROMOTION_FEE,DEALS_PROMOTION_FEE+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
SERVICEFEE,DEALS,PROMOTION_FEE_SPECIAL,DEALS_PROMOTION_FEE_SPECIAL+settlement_id+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,ITEMFEES,SALESTAXSERVICEFEE,txn_ref+sku+date,expenses_amazon_fees,expenses_amazon_fees
ORDER,ITEMWITHHELDTAX,LOWVALUEGOODSTAX-SHIPPING,txn_ref+sku+date,sales_shipping,sales_shipping
ORDER,ITEMWITHHELDTAX,LOWVALUEGOODSTAX-PRINCIPAL,txn_ref+sku+date,sales_product_charges,sales_product_charges
REFUND,ITEMWITHHELDTAX,any,txn_ref+sku+date,refunded_expenses,refunded_expenses
REFUND,ITEMPRICE,RETURNSHIPPING,txn_ref+sku+date,refunded_expenses,refunded_expenses
OTHER-TRANSACTION,FBA_INVENTORY_REIMBURSEMENT,COMPENSATED_CLAWBACK,GENERAL ADJUSTMENT+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements
LIQUIDATIONS_ADJUSTMENTS,ITEMPRICE,TAX,txn_ref+sku+date,expenses_other,expenses_other
OTHER-TRANSACTION,OTHER-TRANSACTION,TRANSFER_OF_FUNDS_UNSUCCESSFUL:_WE_COULD_NOT_TRANSFER_FUNDS_TO_YOUR_BANK_ACCOUNT_BECAUSE_THE_ACCOUNT_INFORMATION_ON_FILE_IS_INVALID._PLEASE_UPDATE_YOUR_BANK_ACCOUNT_INFORMATION.,,,
